timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure
3.193887,-0.007320,0.046360,1.017236,0.001387,0.000260,-0.000629,-3.083632,-19.778030,42.837284,1016.106445
3.202696,-0.007076,0.046604,1.017236,0.000764,-0.000945,-0.001519,-2.999215,-19.833797,42.464344,1016.106445
3.211511,-0.007076,0.047580,1.018456,-0.001351,0.001173,0.000909,-2.931680,-19.878410,42.165993,1016.108398
3.221466,-0.006100,0.047824,1.016992,0.000473,-0.000349,0.000293,-2.877653,-19.914101,41.927311,1016.108398
3.239460,-0.007320,0.046604,1.017968,0.000465,-0.000042,-0.000312,-2.925092,-19.976254,42.323757,1016.108398
3.254388,-0.006344,0.047580,1.016992,-0.001344,0.002661,-0.001809,-2.963042,-20.025976,42.640911,1016.108887
3.264351,-0.006344,0.046848,1.017480,0.000180,0.001115,-0.001478,-2.993403,-20.065754,42.894634,1016.108887
3.279282,-0.005856,0.047092,1.016504,-0.001025,0.000195,-0.000252,-3.017691,-20.041576,42.669079,1016.108887
3.288095,-0.006588,0.047580,1.018700,0.000794,0.000492,-0.000548,-2.868753,-20.022234,42.488636,1016.108887
3.296928,-0.006100,0.046116,1.015528,0.000181,0.000784,0.001263,-2.749602,-20.006760,42.344280,1016.105469
3.306891,-0.006344,0.046848,1.017480,-0.000123,0.001071,0.000942,-2.654282,-19.994381,42.228798,1016.105469
3.321831,-0.006588,0.045384,1.016992,0.001381,-0.000448,-0.000576,-2.578026,-19.984478,42.136410,1016.105469
3.330640,-0.007808,0.047336,1.016504,0.001658,0.001361,0.000035,-2.504069,-19.931755,42.232437,1016.105469
3.339456,-0.006832,0.047824,1.018944,0.001930,0.001639,-0.000867,-2.444904,-19.889576,42.309258,1016.109131
3.349434,-0.007076,0.046604,1.017236,0.002198,0.001010,-0.001453,-2.397572,-19.855833,42.370712,1016.109131
3.364368,-0.006588,0.047092,1.017480,0.000359,0.000093,-0.000227,-2.359706,-19.828838,42.419876,1016.109131
3.373171,-0.007076,0.047824,1.018456,0.000053,-0.001410,0.000077,-2.329414,-19.807243,42.459209,1016.115723
3.383127,-0.006344,0.046360,1.015528,-0.000248,-0.001687,-0.001426,-2.331082,-19.991568,42.571949,1016.115723
3.401118,-0.007076,0.046604,1.018212,-0.001445,-0.001959,0.000099,-2.332417,-20.139027,42.662144,1016.115723
3.416050,-0.005856,0.048312,1.017480,-0.001121,0.000476,0.001900,-2.333485,-20.256994,42.734299,1016.114746
3.426003,-0.005612,0.046848,1.016748,-0.001102,0.000168,-0.000234,-2.334339,-20.037767,42.548199,1016.114746
3.440988,-0.007320,0.045384,1.016748,0.000118,0.000465,0.000670,-2.516343,-19.862387,42.399319,1016.114746
